Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Cisplatin,1496,PCI-6A,1240206,HNSC,aero_digestive_tract,head_and_neck,.95965246062329168,.86917492639629534,3,.080959481638200936,-0.780819918,GDSC1
Cisplatin,1496,PE-CA-PJ15,1240207,HNSC,aero_digestive_tract,head_and_neck,1.5487303484970529,.90431404951069827,3,.042578487346272231,-0.29997187,GDSC1
Cisplatin,1496,BICR10,1290724,HNSC,aero_digestive_tract,head_and_neck,2.5899696344520886,.9550000320924219,3,.018363195601296258,.54996306660008576,GDSC1
Cisplatin,1496,JHU-029,1298156,HNSC,aero_digestive_tract,head_and_neck,-0.411880503,.67785108896486967,3,.075875429309987391,-1.900364482,GDSC1
Cisplatin,1496,KON,1298215,HNSC,aero_digestive_tract,head_and_neck,.96354206796210562,.87336759187464863,3,.048840603284316164,-0.777644939,GDSC1
Cisplatin,1496,OSC-19,1298362,HNSC,aero_digestive_tract,head_and_neck,2.5284250985943837,.96015236997553854,3,.056069096792798034,.49972595788477031,GDSC1
Cisplatin,1496,PCI-30,1298529,HNSC,aero_digestive_tract,head_and_neck,1.6778279867772128,.89152887231768196,3,.036491078675186403,-0.194593026,GDSC1
Cisplatin,1496,PCI-4B,1298531,HNSC,aero_digestive_tract,head_and_neck,.07435000528674246,.76568835924142942,3,.056172271790651825,-1.503467917,GDSC1
Cisplatin,1496,SAT,1299050,HNSC,aero_digestive_tract,head_and_neck,.65360828991544007,.78406835569816247,3,.030235035846954254,-1.030635341,GDSC1
Cisplatin,1496,SCC90,1299052,HNSC,aero_digestive_tract,head_and_neck,4.4041304499751108,.97703320384357584,3,.042789811352452467,2.0308125497648124,GDSC1
Cisplatin,1496,SKN-3,1299059,HNSC,aero_digestive_tract,head_and_neck,-0.496366053,.67086744371083962,3,.1160855924966476,-1.969327709,GDSC1
,,,,,,,,,,,,
,,,,,,,,,,,,
5-Fluorouracil,179,BB49-HNC,753532,HNSC,aero_digestive_tract,head_and_neck,6.5195107030214787,.9770879537712347,32,.034770738867811957,1.677221796366593,GDSC1
5-Fluorouracil,179,BHY,753535,HNSC,aero_digestive_tract,head_and_neck,3.5068352670996878,.88443209600686767,32,.043282548107585916,-0.023733418,GDSC1
5-Fluorouracil,179,Ca9-22,753538,HNSC,aero_digestive_tract,head_and_neck,3.2132434470724194,.86460245247960765,32,.10016668781377121,-0.189495229,GDSC1
5-Fluorouracil,179,CAL-33,753541,HNSC,aero_digestive_tract,head_and_neck,2.0356001123774501,.70655253989385303,32,.27942376891209952,-0.854392134,GDSC1
5-Fluorouracil,179,HO-1-u-1,753561,HNSC,aero_digestive_tract,head_and_neck,3.3885871216822006,.88553396127939665,32,.066538281165581539,-0.090496269,GDSC1
5-Fluorouracil,179,HSC-2,753562,HNSC,aero_digestive_tract,head_and_neck,5.6667749360548996,.98758039464662528,32,.027066086304522181,1.1957675606733018,GDSC1
5-Fluorouracil,179,KOSC-2,753570,HNSC,aero_digestive_tract,head_and_neck,5.1181213539689088,.95259751688765304,32,.045612810406272429,.88599799165046311,GDSC1
5-Fluorouracil,179,LB771-HNC,753583,HNSC,aero_digestive_tract,head_and_neck,4.6057342685354472,.93076589415879329,32,.045159438358139348,.59670447054716846,GDSC1
5-Fluorouracil,179,Detroit562,906837,HNSC,aero_digestive_tract,head_and_neck,5.1880663698905485,.97494878655377137,32,.032293549893743771,.92548891660708921,GDSC1
5-Fluorouracil,179,FADU,906863,HNSC,aero_digestive_tract,head_and_neck,4.7478005765999445,.95889375490765993,32,.043375936896649765,.67691504504936462,GDSC1
5-Fluorouracil,179,HSC-3,907061,HNSC,aero_digestive_tract,head_and_neck,4.8804408312442336,.97757813056324383,32,.066241082703024187,.75180367397259884,GDSC1
5-Fluorouracil,179,HSC-4,907062,HNSC,aero_digestive_tract,head_and_neck,1.67866540807317,.63701943810497641,32,.21625470484949685,-1.055917309,GDSC1
5-Fluorouracil,179,SAS,909708,HNSC,aero_digestive_tract,head_and_neck,3.0055103747361342,.82113703741718513,32,.073489170291971981,-0.30678123,GDSC1
5-Fluorouracil,179,SCC-9,909709,HNSC,aero_digestive_tract,head_and_neck,3.3637189181045803,.82502748247629065,32,.093037875087032235,-0.104536845,GDSC1
5-Fluorouracil,179,SCC-25,910701,HNSC,aero_digestive_tract,head_and_neck,3.194277965978062,.8413351052212541,32,.062767461709148223,-0.200203132,GDSC1
5-Fluorouracil,179,SCC-4,910904,HNSC,aero_digestive_tract,head_and_neck,5.3473145846101131,.96158338298792656,32,.10516506824363377,1.0154003879835842,GDSC1
5-Fluorouracil,179,SCC-15,910911,HNSC,aero_digestive_tract,head_and_neck,3.6455844771736734,.85874485103205034,32,.091385303911681606,.054604324337078632,GDSC1
5-Fluorouracil,179,CAL-27,910916,HNSC,aero_digestive_tract,head_and_neck,.30926931433947297,.43870927211461996,32,.24095404358131864,-1.829077736,GDSC1
5-Fluorouracil,179,DOK,910936,HNSC,aero_digestive_tract,head_and_neck,6.6030316424925868,.97251944378947908,32,.040804598917865101,1.7243776817359748,GDSC1
5-Fluorouracil,179,HO-1-N-1,924111,HNSC,aero_digestive_tract,head_and_neck,3.7098728483269321,.90801402877128456,32,.19948480943907204,.090901510167178637,GDSC1
5-Fluorouracil,179,BICR22,1240121,HNSC,aero_digestive_tract,head_and_neck,3.7929276398944887,.88773383096734215,32,.11918228650592036,.13779420863703271,GDSC1
5-Fluorouracil,179,BICR78,1240122,HNSC,aero_digestive_tract,head_and_neck,3.9290599426680752,.89093253433538488,32,.12107192256481869,.21465444638474002,GDSC1
5-Fluorouracil,179,JHU-011,1240161,HNSC,aero_digestive_tract,head_and_neck,.011440797320518148,.39019468821615544,32,.21696042296174836,-1.997231585,GDSC1
5-Fluorouracil,179,JHU-022,1240162,HNSC,aero_digestive_tract,head_and_neck,4.7474020797948038,.92897278785827875,32,.12866579599516276,.67669005392998449,GDSC1
5-Fluorouracil,179,OSC-20,1240196,HNSC,aero_digestive_tract,head_and_neck,3.7554146330753713,.87847084219558402,32,.040174002961756806,.11661438163047626,GDSC1
5-Fluorouracil,179,PCI-15A,1240204,HNSC,aero_digestive_tract,head_and_neck,5.8165816960837953,.98547570933252038,32,.057295495449039127,1.2803483909203659,GDSC1
5-Fluorouracil,179,PCI-38,1240205,HNSC,aero_digestive_tract,head_and_neck,2.3894353521235496,.75181172870391499,32,.11549742105067634,-0.654616914,GDSC1
5-Fluorouracil,179,PCI-6A,1240206,HNSC,aero_digestive_tract,head_and_neck,3.0205679112844268,.83756597808953859,32,.12858847872339349,-0.298279751,GDSC1
5-Fluorouracil,179,PE-CA-PJ15,1240207,HNSC,aero_digestive_tract,head_and_neck,3.998480495036477,.91001962883025467,32,.10398615202521799,.25384925945189835,GDSC1
5-Fluorouracil,179,BICR10,1290724,HNSC,aero_digestive_tract,head_and_neck,5.7545933537449692,.97693558655296964,32,.053643762517075991,1.2453498003384333,GDSC1
5-Fluorouracil,179,BICR31,1290725,HNSC,aero_digestive_tract,head_and_neck,5.1186388063900186,.96401368518869179,32,.065697534440375557,.88629014505784198,GDSC1
5-Fluorouracil,179,KON,1298215,HNSC,aero_digestive_tract,head_and_neck,5.5884133299286507,.98453465076720881,32,.056694817797748757,1.1515246326213693,GDSC1
5-Fluorouracil,179,OSC-19,1298362,HNSC,aero_digestive_tract,head_and_neck,5.0632294398091942,.96568291735550282,32,.042643209407999497,.8550060412699616,GDSC1
5-Fluorouracil,179,PCI-30,1298529,HNSC,aero_digestive_tract,head_and_neck,6.104689189416689,.97448936137489328,32,.041247031728732154,1.443013753830533,GDSC1
5-Fluorouracil,179,PCI-4B,1298531,HNSC,aero_digestive_tract,head_and_neck,.21272484351790344,.42281529657478401,32,.21087682396633778,-1.883586702,GDSC1
5-Fluorouracil,179,SAT,1299050,HNSC,aero_digestive_tract,head_and_neck,5.214938380089051,.93402323205448323,32,.06174921352388197,.94066084164277186,GDSC1
5-Fluorouracil,179,SKN-3,1299059,HNSC,aero_digestive_tract,head_and_neck,3.8910898964343628,.88898248203828478,32,.050935195111603604,.19321657512747933,GDSC1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Doxorubicin,133,BB30-HNC,753531,HNSC,aero_digestive_tract,head_and_neck,-3.837551212,.33058150155392485,1.024,.092610215980627492,-1.252051705,GDSC1
Doxorubicin,133,BHY,753535,HNSC,aero_digestive_tract,head_and_neck,-3.539576077,.37381895610022675,1.024,.083635510692812221,-1.071967679,GDSC1
Doxorubicin,133,Ca9-22,753538,HNSC,aero_digestive_tract,head_and_neck,-3.596951037,.36188662541140038,1.024,.17287567842501744,-1.106642766,GDSC1
Doxorubicin,133,CAL-33,753541,HNSC,aero_digestive_tract,head_and_neck,-3.017783219,.45722220853680862,1.024,.11905136365808905,-0.756617343,GDSC1
Doxorubicin,133,HO-1-u-1,753561,HNSC,aero_digestive_tract,head_and_neck,-2.128546056,.6026040698743963,1.024,.06764347602975114,-0.219198647,GDSC1
Doxorubicin,133,HSC-2,753562,HNSC,aero_digestive_tract,head_and_neck,-3.555908802,.36786709323750499,1.024,.048377358763295276,-1.081838512,GDSC1
Doxorubicin,133,KOSC-2,753570,HNSC,aero_digestive_tract,head_and_neck,-2.95956881,.46878517481664927,1.024,.21428689080923943,-0.721434927,GDSC1
Doxorubicin,133,LB771-HNC,753583,HNSC,aero_digestive_tract,head_and_neck,.92603015379319131,.91815182314129684,1.024,.15684658525766845,1.626862712171097,GDSC1
Doxorubicin,133,Detroit562,906837,HNSC,aero_digestive_tract,head_and_neck,-1.66424356,.67237365283247919,1.024,.066508869169907767,.061406857491353148,GDSC1
Doxorubicin,133,FADU,906863,HNSC,aero_digestive_tract,head_and_neck,-2.139396123,.59735247947108172,1.024,.096382153030796003,-0.225755985,GDSC1
Doxorubicin,133,HSC-3,907061,HNSC,aero_digestive_tract,head_and_neck,-2.797343738,.4917805098101915,1.024,.10164689908200154,-0.623392706,GDSC1
Doxorubicin,133,HSC-4,907062,HNSC,aero_digestive_tract,head_and_neck,-2.517160312,.53277378303781764,1.024,.072571483618152716,-0.454061263,GDSC1
Doxorubicin,133,SAS,909708,HNSC,aero_digestive_tract,head_and_neck,-2.132387514,.59472386367039498,1.024,.067312582653230632,-0.221520267,GDSC1
Doxorubicin,133,SCC-25,910701,HNSC,aero_digestive_tract,head_and_neck,-1.897259365,.63022922933692915,1.024,.080249354934664688,-0.079418398,GDSC1
